frequenz,aa,ab,ac,ad,ae,af,ag,ah,ai,aj,ak,al,am,an,ao,ap,aq,ar,as,at,au,av,aw,ax,ay,az,ba,bb,bc,bd,be,bf,bg,bh,bi,bj,bk,bl,bm,bn,bo,bp
100,2756,1818,3436,6280,2185,822,20028,9914,15594,3541,856,6141,1441,1912,4564,4826,6046,1392,1181,4,1318,11693,5833,18466,3890,6805,3619,1351,25601,20012,797,6236,24163,1230,6989,10546,3375,0,23208,1117,1441,3966
500,18734,0,8486,12578,2717,6035,5003,1521,13316,5286,1574,3909,746,19843,19243,5157,2018,2357,12356,17001,2893,0,0,4428,3341,0,28750,3139,22878,15627,1397,24117,0,7491,2250,3521,3892,8357,0,2172,2621,12986
900,5361,0,2600,3967,3099,15148,14395,5545,8682,15730,1919,5340,1018,14084,9285,5225,1244,1708,0,8234,3640,8404,23830,10716,809,9166,7589,1996,15539,6932,1290,12144,20796,26651,1276,4384,3957,17931,15730,4573,1320,11922
1300,2201,0,3075,7963,3191,5148,4940,28194,5738,4677,1208,2449,979,5702,9415,25209,489,740,2495,5296,2133,273,42,1726,3547,3537,3474,1753,8164,6282,1226,3870,20298,6125,947,6731,2207,4302,1434,1458,1075,291
1700,1586,29563,3958,10958,3500,9313,21561,9258,287,6482,1062,871,912,3667,7545,10756,382,1643,59,5464,647,178,114,1946,1943,3750,5044,1706,6097,8229,5523,8833,24442,4146,1082,2198,1996,6202,1954,623,763,241
2100,1689,0,4249,4550,3594,7067,1953,6225,8146,3532,1258,1887,8873,9571,10232,11503,1074,468,76,1784,260,170,98,1362,3426,12969,3700,1144,4398,9934,4327,4695,19351,4529,962,2826,1788,8422,1672,625,1075,93
2500,1943,0,3921,2124,8631,6815,2531,8712,2674,3555,1314,1737,1215,9441,10936,3840,283,308,723,6076,151,145,115,1172,560,10343,3473,1489,5465,8741,3386,3855,9459,5161,1010,1058,995,6379,688,658,779,132
2900,2313,0,4143,3099,4354,7817,315,7833,295,8474,1841,1213,354,5508,6621,123,266,402,51,7216,130,110,90,1272,539,6678,3389,1209,2708,7650,1674,11432,306,5922,1082,1514,386,8864,529,737,723,89
3300,1402,0,3537,943,4416,7954,1828,6871,5841,4886,10033,947,252,8160,5082,101,235,307,61,7705,103,130,98,1353,1731,10098,1930,1319,3145,12118,1826,9034,111,4950,2018,2051,293,4772,1410,642,688,107
3700,1307,0,3618,1794,7322,10663,129,4419,281,3194,754,737,353,8545,4029,99,251,248,61,10151,120,186,107,1075,6065,9687,2418,1326,7809,9771,2000,9338,122,5362,790,2501,254,5455,1448,747,812,77
4100,1163,0,2861,1019,4333,8378,99,5798,490,3290,513,715,418,7584,4658,84,260,283,52,7134,137,328,313,1336,5397,11929,2624,1433,10862,6545,2059,9622,98,5294,698,2297,150,14429,1291,882,753,68
